"accuracy","anzahl_gruppen","avg_rt","blauetaste","block","code","correct","correct_colour","correct_response","correct1","correct2","correct3","count_bildstimulus_3_1","count_block","cutoff","datetime","difficulty","difficulty_f","erstebedingung","experiment_file","filename","height","id_geburtsort","id_jahr","id_vater","linketaste","logfile","loose1","loose2","loose3","orangenetaste","punkte1","punkteimblock","response","response_tasteresponse_3_1","response_time","response_time_tasteresponse_3_1","subject_nr","time_bildershuffle","time_bildstimulus_3_1","time_block","time_block_tut","time_blockwerte_zuruecksetzten","time_cutoff_werte_und_punkte_3_1","time_definecorrectcolour_3_1","time_eingabemaske_kuerzel_python","time_ende_tutorial_1","time_ende_experimentierungsphase","time_experiment","time_feedback_serie","time_feedback_tutorial","time_fixationcross_3_1","time_grauesbild_3_1","time_gruppe_block","time_gruppe_tutorial","time_instruktionen_block","time_instruktionen_tutorial_1","time_introduction_1","time_introduction_2_1","time_introduction_3_punkte","time_introduction_3_speed","time_introduction_4_accuracy","time_introduction_5_feedback","time_leertaste_fuer_naechsten_bildschirm","time_logger_3_1","time_loop_block","time_loop_block_tut","time_minifeedbacknegativ_acc","time_minifeedbacknegativ_speed_slow","time_minifeedbacknegativ_speed_slowandwrong","time_minifeedbacknegativ_speed_wrong","time_minifeedbackpositiv_acc","time_minifeedbackpositiv_speed","time_new_inline_script","time_pause_zwischen_serie_1","time_pause_zwischen_serie_2","time_reset_feedback","time_reset_feedback_1","time_sequenz_block","time_sequenz_block_tut","time_sequenz_block_tut_1","time_sequenz_gruppe","time_sequenz_gruppe_tut","time_sequenz_serie","time_serie","time_set_to_zero","time_start","time_tasteresponse_3_1","time_testloopprepareglitchtutorial","time_trial_3_1","time_tutorial","time_tutorial_ende","time_tutorial_wiederholungscheck","time_vorgeplaenkel","time_warnhinweis_3sek","time_warnhinweis_5sek","time_warnung_tutorial_1","total_correct","total_response_time","total_responses","tutorial","tutorialpunkte","geschlecht","alter","studiengang","bildungsabschluss","haendig1","haendig2","haendig3","haendig4","haendig_mean"
88.8888888888889,96,73821.1376111204,"l","accuracy","li1999no","0","o","a","0","0","0",0,1,700,"Thu Mar 16 14:25:22 2023",3,"sehr schwer","speed","Experiment.osexp","Bild_s1_o_11.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",1,0,0,"a",-10,-10,"None","None",4995.03910006024,4995.03910006024,1,160055.034199962,161057.645799941,NA,150192.0428999,NA,166053.007699898,160748.172199936,13639.2736999551,NA,NA,6986.25919991173,NA,NA,160756.065899972,NA,NA,160056.326999911,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,166053.095899988,NA,160055.062599946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,160056.272099959,NA,NA,NA,6986.39929993078,161057.763099903,6986.43239994999,160747.91279994,150190.655799932,NA,NA,7995.85559999105,NA,NA,144475.360499928,8,664390.238500084,9,1,0,1,23,"Germanistik",5,3,3,3,3,3
80,96,66593.4684600099,"l","accuracy","li1999no","0","b","l","0","0","0",1,1,700,"Thu Mar 16 14:25:22 2023",3,"sehr schwer","speed","Experiment.osexp","Bild_s1_b_18.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",1,0,0,"a",-20,-20,"a","a",1544.44610001519,1544.44610001519,1,160055.034199962,168461.78319992,NA,150192.0428999,NA,170006.997299963,168152.303999988,13639.2736999551,NA,NA,6986.25919991173,NA,NA,168160.410099896,167388.378800009,NA,160056.326999911,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,170007.080699899,NA,160055.062599946,166085.45429993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,160056.272099959,NA,NA,167382.370699896,6986.39929993078,168461.913499981,6986.43239994999,168152.211699984,150190.655799932,NA,NA,7995.85559999105,166387.099299929,NA,144475.360499928,8,665934.684600099,10,1,0,1,23,"Germanistik",5,3,3,3,3,3
81.8181818181818,96,60673.0234727306,"l","accuracy","li1999no","1","b","l","1","0","0",2,1,700,"Thu Mar 16 14:25:22 2023",2,"eher schwer","speed","Experiment.osexp","Bild_s2_b_1.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",0,0,0,"a",-15,-15,"l","l",1468.57359993737,1468.57359993737,1,160055.034199962,171513.745200005,NA,150192.0428999,NA,172983.632099931,171204.382499913,13639.2736999551,NA,NA,6986.25919991173,NA,NA,171212.31079998,170331.71259996,NA,170451.612200006,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,172983.785699937,NA,160055.062599946,170030.433399952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,170451.491599903,NA,NA,170325.611699955,6986.39929993078,171513.877199963,6986.43239994999,171204.290899914,150190.655799932,NA,NA,7995.85559999105,166387.099299929,NA,144475.360499928,9,667403.258200036,11,1,0,1,23,"Germanistik",5,3,3,3,3,3
83.3333333333333,96,55688.1200999972,"l","accuracy","li1999no","1","o","a","1","0","0",3,1,700,"Thu Mar 16 14:25:22 2023",2,"eher schwer","speed","Experiment.osexp","Bild_s2_o_5.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",0,0,0,"a",-10,-10,"a","a",854.182999930345,854.182999930345,1,160055.034199962,174416.00149998,NA,150192.0428999,NA,175271.136499941,174106.395499897,13639.2736999551,NA,NA,6986.25919991173,NA,NA,174114.459699951,173309.008599957,NA,170451.612200006,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,175271.220099996,NA,160055.062599946,170030.433399952,NA,NA,NA,173006.458899938,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,170451.491599903,NA,NA,173301.858099992,6986.39929993078,174416.126099997,6986.43239994999,174106.302300002,150190.655799932,NA,NA,7995.85559999105,166387.099299929,NA,144475.360499928,10,668257.441199967,12,1,0,1,23,"Germanistik",5,3,3,3,3,3
84.6153846153846,96,51471.4411000023,"l","accuracy","li1999no","1","o","a","1","0","0",4,1,700,"Thu Mar 16 14:25:22 2023",1,"eher leicht","speed","Experiment.osexp","Bild_s3_o_11.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",0,0,0,"a",-5,-5,"a","a",871.293100062758,871.293100062758,1,160055.034199962,176782.864999957,NA,150192.0428999,NA,177654.956999933,176472.031299956,13639.2736999551,NA,NA,6986.25919991173,NA,NA,176480.52360001,175599.607299897,NA,175732.482399908,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,177655.040399986,NA,160055.062599946,170030.433399952,NA,NA,NA,175298.087199917,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,175732.330899918,NA,NA,175593.358199927,6986.39929993078,176783.015899942,6986.43239994999,176471.932799905,150190.655799932,NA,NA,7995.85559999105,166387.099299929,NA,144475.360499928,11,669128.734300029,13,1,0,1,23,"Germanistik",5,3,3,3,3,3
85.7142857142857,96,47889.8556500041,"l","accuracy","li1999no","1","o","a","1","0","0",5,1,700,"Thu Mar 16 14:25:22 2023",1,"eher leicht","speed","Experiment.osexp","Bild_s3_o_18.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",0,0,0,"a",0,0,"a","a",1329.24480002839,1329.24480002839,1,160055.034199962,179140.95609996,NA,150192.0428999,NA,180471.134199994,178829.533399898,13639.2736999551,NA,NA,6986.25919991173,NA,NA,178838.717299979,177988.085299963,NA,175732.482399908,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,180471.217199927,NA,160055.062599946,170030.433399952,NA,NA,NA,177686.932499986,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,175732.330899918,NA,NA,177982.076599961,6986.39929993078,179141.065899981,6986.43239994999,178829.433399951,150190.655799932,NA,NA,7995.85559999105,166387.099299929,NA,144475.360499928,12,670457.979100058,14,1,0,1,23,"Germanistik",5,3,3,3,3,3
86.6666666666667,96,44742.2859000042,"l","accuracy","li1999no","1","b","l","1","0","0",6,1,700,"Thu Mar 16 14:25:22 2023",0,"sehr leicht","speed","Experiment.osexp","Bild_s4_b_19.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",0,0,0,"a",5,5,"l","l",676.309400005266,676.309400005266,1,160055.034199962,181937.894199975,NA,150192.0428999,NA,182615.051599918,181628.256600001,13639.2736999551,NA,NA,6986.25919991173,NA,NA,181636.186499964,180806.205499917,NA,180945.217699977,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,182615.135899978,NA,160055.062599946,170030.433399952,NA,NA,NA,180503.138599917,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,180945.09980001,NA,NA,180798.528199899,6986.39929993078,181938.000699971,6986.43239994999,181628.160999971,150190.655799932,NA,NA,7995.85559999105,166387.099299929,NA,144475.360499928,13,671134.288500063,15,1,0,1,23,"Germanistik",5,3,3,3,3,3
87.5,96,41992.3234125017,"l","accuracy","li1999no","1","o","a","1","0","0",7,1,700,"Thu Mar 16 14:25:22 2023",0,"sehr leicht","speed","Experiment.osexp","Bild_s4_o_11.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",0,0,0,"a",10,10,"a","a",742.88609996438,742.88609996438,1,160055.034199962,184015.338299912,NA,150192.0428999,NA,184759.049199987,183705.848799902,13639.2736999551,NA,NA,6986.25919991173,NA,NA,183714.167999919,182934.847099939,NA,180945.217699977,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,184759.132699925,NA,160055.062599946,170030.433399952,NA,NA,NA,182633.100999985,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,180945.09980001,NA,NA,182928.506499971,6986.39929993078,184015.438999981,6986.43239994999,183705.75199998,150190.655799932,NA,NA,7995.85559999105,166387.099299929,NA,144475.360499928,14,671877.174600028,16,1,0,1,23,"Germanistik",5,3,3,3,3,3
88.2352941176471,96,39557.4592176469,"l","accuracy","li1999no","1","o","a","1","0","0",8,1,700,"Thu Mar 16 14:25:22 2023",0,"sehr leicht","speed","Experiment.osexp","Bild_s4_o_6.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",0,0,0,"a",15,15,"a","a",599.632099969313,599.632099969313,1,160055.034199962,186254.54939995,NA,150192.0428999,NA,186855.020699906,185944.616399938,13639.2736999551,NA,NA,6986.25919991173,NA,NA,185952.604499995,185084.504099912,NA,185201.107600005,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,186855.105199968,NA,160055.062599946,170030.433399952,NA,NA,NA,184783.13919995,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,185200.985600008,NA,NA,185078.383799992,6986.39929993078,186254.706499982,6986.43239994999,185944.518100005,150190.655799932,NA,NA,7995.85559999105,166387.099299929,NA,144475.360499928,15,672476.806699997,17,1,0,1,23,"Germanistik",5,3,3,3,3,3
88.8888888888889,96,37394.4958055508,"l","accuracy","li1999no","1","o","a","1","0","0",9,1,700,"Thu Mar 16 14:25:22 2023",0,"sehr leicht","speed","Experiment.osexp","Bild_s4_o_4.png",1080,"no",1999,"li","orangene","C:/Users/steff/Documents/Universität/Master Psychologie/SS 2022/Masterarbeit/Experiment/subject-1.csv",0,0,0,"a",20,20,"a","a",624.117799918167,624.117799918167,1,160055.034199962,188261.991399922,NA,150192.0428999,NA,188887.254199944,187948.409999954,13639.2736999551,NA,NA,6986.25919991173,NA,NA,187956.70729992,187191.363699967,NA,185201.107600005,NA,150308.476299979,8014.89529991522,49158.0715999007,68975.0144999707,84482.062999974,111983.525299933,132299.728899961,150308.661799994,188887.337399996,NA,160055.062599946,170030.433399952,NA,NA,NA,186890.107499901,NA,NA,NA,NA,NA,NA,NA,150191.802799935,150300.41009991,NA,185200.985600008,NA,NA,187185.316399904,6986.39929993078,188262.216700008,6986.43239994999,187948.310599895,150190.655799932,NA,NA,7995.85559999105,166387.099299929,NA,144475.360499928,16,673100.924499915,18,1,0,1,23,"Germanistik",5,3,3,3,3,3
